STA_TYPE	APPL_CODE	SVCNAME	APPL_TYPE	REQ_KEY_VAL	RES_SEND_TYPE	PERR_SVCNAME	RES_KEY_VAL	CACHE_OFFSET	CACHE_LEN	FILE_LOG_FLAG	BAT_FILE_PATH	DB_LOG_FLAG	LOG_FILE_TYPE	LOG_PATH	INST_CODE	EB_CPAID	LOG_WRT_TYPE	EB_FROM_PARTY	FLOW_CHK_FLAG	EB_TO_PARTY	UID_GEN_FLAG	TX_UID_GEN_FLAG	DUP_CHK_FLAG	SEQ_CHK_FLAG	XML_CLOSE_FLAG	XML_VALD_FLAG	EB_SVCNAME	SEND_PERIOD	KEY_NAME	REQ_ENCODING	RES_ENCODING	CONV_TYPE	BY_PASS_FLAG	MAX_UID	MAX_TX_UID	PASSWD	USER_ID	PASSIVE_FLAG	POST_SVCNAME	BAT_STA_TYPE	
N	C	C	N	C	N	C	C	N	N	N	C	N	N	C	C	C	N	C	N	C	N	N	N	N	N	N	C	N	C	C	C	N	N	N	N	C	C	N	C	N	
1	AP05	CMAPPER1	1	<NODATA>	1	<NODATA>	<NODATA>	0	0	1025	<NODATA>	2	1	<NODATA>	SIM	<NODATA>	1	<NODATA>	2	<NODATA>	0	0	0	0	1	2	<NODATA>	0	<NODATA>	<NODATA>	<NODATA>	1	0	0	0	<NODATA>	<NODATA>	0	<NODATA>	0	
1	AP06	CMAPPER1	1	<NODATA>	1	<NODATA>	<NODATA>	0	0	1025	<NODATA>	2	1	<NODATA>	SIM	<NODATA>	1	<NODATA>	2	<NODATA>	0	0	0	0	1	2	<NODATA>	0	<NODATA>	<NODATA>	<NODATA>	1	0	0	0	<NODATA>	<NODATA>	0	<NODATA>	0	
1	AP04	CMAPPER1	1	<NODATA>	1	<NODATA>	<NODATA>	0	0	1025	<NODATA>	2	1	<NODATA>	SIM	<NODATA>	1	<NODATA>	2	<NODATA>	0	0	0	0	1	2	<NODATA>	0	<NODATA>	<NODATA>	<NODATA>	1	0	0	0	<NODATA>	<NODATA>	0	<NODATA>	0	
1	AP02	CMAPPER1	1	<NODATA>	1	<NODATA>	<NODATA>	0	0	1025	<NODATA>	2	1	<NODATA>	SIM	<NODATA>	1	<NODATA>	2	<NODATA>	0	0	0	0	1	2	<NODATA>	0	<NODATA>	<NODATA>	<NODATA>	1	0	0	0	<NODATA>	<NODATA>	0	<NODATA>	0	
1	AP08	CMAPPER2	1	S	1	<NODATA>	R	0	0	1025	<NODATA>	2	1	<NODATA>	SIM	<NODATA>	1	<NODATA>	2	<NODATA>	0	0	0	0	1	2	<NODATA>	0	<NODATA>	<NODATA>	<NODATA>	1	0	0	0	<NODATA>	<NODATA>	0	<NODATA>	0	
1	AP09	CMAPPER2	1	A	1	<NODATA>	B	0	0	1025	<NODATA>	2	1	<NODATA>	SIM	<NODATA>	1	<NODATA>	2	<NODATA>	0	0	0	0	1	2	<NODATA>	0	<NODATA>	<NODATA>	<NODATA>	1	0	0	0	<NODATA>	<NODATA>	0	<NODATA>	0	
1	AP03	CMAPPER1	1	<NODATA>	1	<NODATA>	<NODATA>	0	0	1025	<NODATA>	2	1	<NODATA>	SIM	<NODATA>	1	<NODATA>	2	<NODATA>	0	0	0	0	1	2	<NODATA>	0	<NODATA>	<NODATA>	<NODATA>	1	0	0	0	<NODATA>	<NODATA>	0	<NODATA>	0	
1	AP10	CMAPPER2	1	<NODATA>	1	<NODATA>	<NODATA>	0	0	1025	<NODATA>	2	1	<NODATA>	SIM	<NODATA>	1	<NODATA>	2	<NODATA>	0	0	0	0	1	2	<NODATA>	0	<NODATA>	<NODATA>	<NODATA>	1	0	0	0	<NODATA>	<NODATA>	0	<NODATA>	0	
1	AP07	CMAPPER1	1	<NODATA>	1	<NODATA>	<NODATA>	0	0	1025	<NODATA>	2	1	<NODATA>	SIM	<NODATA>	1	<NODATA>	2	<NODATA>	0	0	0	0	1	2	<NODATA>	0	<NODATA>	<NODATA>	<NODATA>	1	0	0	0	<NODATA>	<NODATA>	0	<NODATA>	0	
